complex_name,graph_file,sha256,nodes,local_edges,line_nodes,line_edges,coulomb_nodes,coulomb_edges
A71EV2A-x4032b,processed/A71EV2A-x4032b.bin,01daa7ee627c9855b4eb88cc1b4e8fe8941c1b0b8d33509e038b95f23d4f46bf,20,239,239,2862,20,380
A71EV2A-x4035a,processed/A71EV2A-x4035a.bin,dd2bf8a387899da78c5f8400e55c2829b84a69fa48b7de2dba18e2b6c2a74b89,21,252,252,3024,21,420
A71EV2A-x4035b,processed/A71EV2A-x4035b.bin,671d1bed0066dd66c84c3e5d43da2c72f411f0ee74f63f037894b591b03605b8,21,252,252,3024,21,420
A71EV2A-x4202a,processed/A71EV2A-x4202a.bin,a67711f7053d4d273f8d559910990a38dd896dd1a591c82fcedef0cef6d4a389,21,252,252,3024,21,420
A71EV2A-x4202b,processed/A71EV2A-x4202b.bin,d17213280155289bdb42f00a19d5a392be809ececaea0d38c813ae9b1b9174f3,21,252,252,3024,21,420
A71EV2A-x4290a,processed/A71EV2A-x4290a.bin,8c536214505dffd57fdf5fedc2946309968da6d1dc1b4351848a9eef9dbbbb11,21,252,252,3024,21,420
A71EV2A-x4291a,processed/A71EV2A-x4291a.bin,53b6aa951313f1ef3fc43acef583e2c15031be1dd700c3326318a382cd4cbf48,21,252,252,3024,21,420
A71EV2A-x4295a,processed/A71EV2A-x4295a.bin,a2d31f537fe500a2fdff3dcafd24f185d4866a3ee289aa60609000d1da920c64,20,240,240,2880,20,380
A71EV2A-x4298a,processed/A71EV2A-x4298a.bin,55a57c31fd8f6a13a400ff75bf12bdfb9441110c20da7ffff213fc938b9b6724,20,240,240,2880,20,380
A71EV2A-x4305a,processed/A71EV2A-x4305a.bin,8fa705276d054ff2c3e75e68009d70a93ec59270b019bb64ecf31a26319b7c06,22,264,264,3168,22,462
A71EV2A-x4306a,processed/A71EV2A-x4306a.bin,35898c6b616dccd48ef9de45d89df1772b17be47237de6fed39a15cc02dce109,24,288,288,3456,24,552
A71EV2A-x4308a,processed/A71EV2A-x4308a.bin,56f5f8fb5baed371e4fde083c7b7e325145fcd4d71157cc42b419a767e92f44f,22,264,264,3168,22,462
A71EV2A-x4309a,processed/A71EV2A-x4309a.bin,f98b4a3f63d57f145c32410f8ca2fd51dc71c41304fadfa118cd2cbb436033b3,25,299,299,3583,25,600
A71EV2A-x4309b,processed/A71EV2A-x4309b.bin,632cc5b5bb7fe23e9e342dcd7e3a846b1778bf79af9679b728b03605cce2c137,25,299,299,3583,25,600
A71EV2A-x4310a,processed/A71EV2A-x4310a.bin,72a1b9c209c920e74f9ae9e13f130b26435a16e939207bac69daa88eacd4a103,24,288,288,3456,24,552
A71EV2A-x4310b,processed/A71EV2A-x4310b.bin,89219876ee6216433dbafdf26da16df8ea27a314b241749ae0be6c75ebda6db1,24,288,288,3456,24,552
A71EV2A-x4311a,processed/A71EV2A-x4311a.bin,13e5f89e21412ffee33e1cdbf5c609788c9873de6a2db9bde2bafea7d261ed96,22,264,264,3168,22,462
A71EV2A-x4312a,processed/A71EV2A-x4312a.bin,b634f8cf2d63f8afc0620be45a829356f30cdbc7b59c1a60bab1b1c32e487829,19,228,228,2736,19,342
A71EV2A-x4313a,processed/A71EV2A-x4313a.bin,1795117eabbdcd0b28ad74f02ef7e6cf87eb54ff79c39144f8ed4adf39113fd6,20,240,240,2880,20,380
A71EV2A-x4316a,processed/A71EV2A-x4316a.bin,7a8ab69bf124dc2a024c4480313dd8fd5ccf94448ecb0084e94b989fe3a47e37,21,252,252,3024,21,420
A71EV2A-x4319a,processed/A71EV2A-x4319a.bin,95f03a0ab56a8d5fb9ecd65026711b15cf26031d3f8b964ed66c1da5df908554,22,264,264,3168,22,462
A71EV2A-x4320a,processed/A71EV2A-x4320a.bin,2f9c94c45a4f685fac669bc50a940b447da44bb60a5bdbce105cd4fbf38a9f21,23,275,275,3293,23,506
A71EV2A-x4321a,processed/A71EV2A-x4321a.bin,f6ec19c6f4499d09c120a724a2cdc60b6b36fde8769a1225cab7a2ed2914cc35,21,252,252,3024,21,420
A71EV2A-x4321b,processed/A71EV2A-x4321b.bin,342eaf898b29f6e25c29b3933ecd976916b2860d39a8eecfe610c71ea8c5fc17,21,252,252,3024,21,420
A71EV2A-x4322a,processed/A71EV2A-x4322a.bin,5be226082b09ed23b26c471db830e15f0d55338960e5111c6864ac165e356273,22,264,264,3168,22,462
A71EV2A-x4334a,processed/A71EV2A-x4334a.bin,2273322dca7365f5810f753005ff5792f498c31f98ef7045002912a5c5dda009,20,240,240,2880,20,380
A71EV2A-x4334b,processed/A71EV2A-x4334b.bin,edf46bf535bceec536e556973c7ff8bef489b35d812b904836ca36323d7aea91,20,239,239,2861,20,380
A71EV2A-x4336a,processed/A71EV2A-x4336a.bin,a2eb42b78bd1185f0f1da1b75daced99e4faf6fe2617111f800f99b80b6834cc,20,240,240,2880,20,380
A71EV2A-x4341a,processed/A71EV2A-x4341a.bin,51665033fccf196d827f42792162ce97576d54e4b2d45d9ee7be9c6e32ed41b0,21,252,252,3024,21,420
A71EV2A-x4344a,processed/A71EV2A-x4344a.bin,a245d7fe1444ed7cc681be0931761fd0740c2d794cc95cdc75282b88ebd45b3e,21,252,252,3024,21,420
A71EV2A-x4347a,processed/A71EV2A-x4347a.bin,0d479f07aeceeccbae3ff5ac880895e6f0c15a05d1c6a8b39ab0fc69f3e0537e,20,240,240,2880,20,380
A71EV2A-x4351a,processed/A71EV2A-x4351a.bin,663572eed61c87154d73c2c61167f6be1dc76ef24e7fbc82add00e1d3ba7ebc1,20,240,240,2880,20,380
A71EV2A-x4368a,processed/A71EV2A-x4368a.bin,ca2ad13ea3c2295619fdbfbb4a02d556e4dec034382082b4e2f98e197118c8d0,21,252,252,3024,21,420
A71EV2A-x4372a,processed/A71EV2A-x4372a.bin,23a15528228ed94b9a9e079be30b5a3bc2e26c39ce34126d65434c027ae8d99d,19,228,228,2736,19,342
A71EV2A-x4374a,processed/A71EV2A-x4374a.bin,cd5c108148a7d03aebb50f4348858daeb5b47a3f1070d42efae79cfa397ee2a4,20,240,240,2880,20,380
A71EV2A-x4374b,processed/A71EV2A-x4374b.bin,e50753f0ce301706aaf6007e610d0393e9f2d0362c318925e4d77446e4ab19ed,20,240,240,2880,20,380
A71EV2A-x4381a,processed/A71EV2A-x4381a.bin,95794b3828894b5a63902d4d19da17ae78fb89fde9041559f5cd320f00c0875b,26,312,312,3744,26,650
A71EV2A-x4203a,processed/A71EV2A-x4203a.bin,b5c7ae7ae1e52abec199b489f9047362875f4675b55321bf20a63ab659ec5f26,21,251,251,3006,21,420
A71EV2A-x4207a,processed/A71EV2A-x4207a.bin,82cd7740dd82845665ad02febd4c36d7e0e81192fb1547d0471aa10ec409a390,24,288,288,3456,24,552
A71EV2A-x4207b,processed/A71EV2A-x4207b.bin,61fb38d5e3aa87b126b1ffce3c7d1fe82310447abf64f835095bfbeca3a06d17,24,288,288,3456,24,552
A71EV2A-x4209a,processed/A71EV2A-x4209a.bin,ed61dbcd2a508144ff7f1efeee8d15b88dd96c047ef02075327ec1a63e44427a,21,252,252,3024,21,420
A71EV2A-x4214a,processed/A71EV2A-x4214a.bin,066e81549ca0c83e1d4b7e060551fd45c8c078cafc88f774be32cf93aef9cccd,20,240,240,2880,20,380
A71EV2A-x4214b,processed/A71EV2A-x4214b.bin,9681578b82aaee7e2456eef602144568de0b759e308d09e5c71cfc43a8277639,20,240,240,2880,20,380
